time,longitude,latitude,tp,u10,v10,r,t2m,fwi
1979-04-15 12:00:00,18.25,40.5,0.00011794455,-1.6427971,2.745882,72.174614,288.63486,12.133179
1979-04-16 12:00:00,18.25,40.5,0.00016769627,-2.2866917,2.3970492,77.57748,289.757,10.984009
1979-04-17 12:00:00,18.25,40.5,0.0035628695,-4.073753,3.9780016,70.801704,289.41,4.7714844
1979-04-18 12:00:00,18.25,40.5,0.004660747,0.14300887,2.5960183,81.29563,287.60345,1.3682861
1979-04-19 12:00:00,18.25,40.5,0.0012331912,-0.20661123,-1.7226682,63.69029,288.06638,3.0546875
1979-04-20 12:00:00,18.25,40.5,2.3245811e-05,1.6058279,-4.7643776,61.418255,287.65332,4.8276367
1979-04-21 12:00:00,18.25,40.5,0.00036147633,1.4080545,-3.8074887,60.33217,286.7262,7.6883545
1979-04-22 12:00:00,18.25,40.5,0.0011494071,1.5639206,-2.431205,63.316242,286.08585,3.723877
1979-04-23 12:00:00,18.25,40.5,0.0019105875,0.5382137,-0.8844695,66.04729,285.36865,3.2523193
1979-04-24 12:00:00,18.25,40.5,0.0012993363,0.08840988,3.5689166,64.29247,287.4781,12.271973
1979-04-25 12:00:00,18.25,40.5,0.0019302617,-1.0189104,9.28309,68.27851,289.95663,18.850464
1979-04-26 12:00:00,18.25,40.5,0.0061645005,-2.9796193,8.991916,80.96774,290.2257,3.7033691
1979-04-27 12:00:00,18.25,40.5,0.0027231856,0.04256292,3.017495,82.36045,289.80618,0.5531006
1979-04-28 12:00:00,18.25,40.5,5.208957e-05,0.2829744,-0.5552614,62.682934,288.42856,1.3417969
1979-04-29 12:00:00,18.25,40.5,0.00026807794,0.81383187,1.3684711,59.351013,288.0306,6.0789795
1979-04-30 12:00:00,18.25,40.5,0.00083492,1.3000668,0.86829597,61.696426,287.88004,4.4310303
1979-05-01 12:00:00,18.25,40.5,0.000112163834,0.10485724,-0.105173774,62.769184,288.39505,6.496216
1979-05-02 12:00:00,18.25,40.5,4.8400834e-06,0.8907301,1.6928049,56.281612,289.6826,9.654297
1979-05-03 12:00:00,18.25,40.5,-5.5879354e-09,0.34880173,3.5261776,66.019516,290.2731,12.290649
1979-05-04 12:00:00,18.25,40.5,0.0,0.100286424,1.50023,60.553425,291.13547,10.473877
1979-05-05 12:00:00,18.25,40.5,5.5879354e-09,-1.4493179,0.5912778,58.858265,291.12195,9.164551
1979-05-06 12:00:00,18.25,40.5,-5.5879354e-09,-0.6524743,-3.0424519,69.77703,291.411,13.613525
